TF,Target
MAGI3,KIF23
ABCA1,FBXO3
PPIP5K2,ELL2
GLRX,LEPREL1
SERHL2,ZUFSP
FOS,VASH2
SLC39A8,GLIPR2
ERCC-00171,VAMP7
LGR4,PTGR1
ZNF516,ERCC8
ERCC-00136,CLGN
NCAPG,FBXO5
RPL17-C18ORF32,SH3BGRL
CEP70,PPIP5K2
B3GNT2,CLK1
B3GNT5,RPL17-C18ORF32
PLCB4,KIF4A
MCCC1,CDK1
VASH2,PIBF1
CELF2,CRHBP
PENK,GDAP1
ALG11,CDH11
ITFG1,HLA-DQB1
C3ORF58,ERCC-00003
PRSS35,ARMCX3
ELL2,NFIB
RALB,PCDH7
TNFAIP8,ERCC-00042
B3GNT2,DECR1
POLR3G,DYRK2
YEATS4,PRKRIR
ERCC-00131,STK17B
APOBEC3G,GNAI1
ST6GALNAC3,RLF
ARMC8,FAM173B
AGL,ERCC-00062
BLM,GTF2H2D
TNFAIP8,GRPR
CCDC138,ATG4C
VWA5A,C3ORF14
CAP2,KIAA1804
GABRB2,VAMP7
EPCAM,HMMR
HAS2,GYPE
NT5C3,LEPREL1
NT5C3,ANKRD6
VWA5A,WDR41
HLA-DQB1,HAS2
ZIC3,GATA4
ERCC-00009,GATA6
FAM188A,ANKRD13C
YPEL5,FBN1
GRPR,SMN1
MPHOSPH9,ERCC-00112
DCAF6,HSD17B11
GTF2B,NIPSNAP3A
CPE,KAL1
TADA1,RPE
ZEB1,KIF18A
BAG3,SH3BGRL2
GYPB,DCUN1D4
TNFRSF11B,IGDCC4
TADA1,ZNF518B
NCAM1,LGALSL
FAM69A,CASD1
ERCC-00092,CRHBP
NXT2,NCAPG
FBXO11,RLF
ARHGAP29,CASD1
TSPAN12,ATG4C
GATM,IPO11
ST3GAL6,COL5A1
KBTBD2,FAM173B
MTMR2,CNKSR3
HMMR,C12ORF23
RGPD2,ERCC-00136
SLC19A2,CCDC66
PIP4K2A,NDC80
OXTR,VPS54
ERCC-00002,ZNF567
ERCC-00130,NAP1L3
CYP1B1,CDC23
CEP70,FLRT3
MME,CNTRL
CDK6,GLMN
ROR2,TBPL1
GATA4,ZNF670
GATA6,PLK2
DYRK2,FASTKD3
ELL2,HLA-DQB1
METTL18,RNF138
RNF13,ASH2L
KIF18A,RFESD
TRUB1,FZD5
KLHL28,BAG3
NUDT10,GATA6
PLAA,RMI1
CCKBR,DUSP10
ZNF516,RHAG
CHEK2,GFM1
MPHOSPH9,COQ3
FAM117B,EFTUD1
YEATS4,TFB2M
GNAI1,MCC
BTBD10,NODAL
DTL,VASH2
HBP1,ORC5
LRRC40,ERCC-00004
PLXNA2,NDFIP2
COL4A1,TBX3
LHX1,TSPAN12
IL6ST,GYPB
COLEC12,ALG6
YEATS4,TTC39B
HMMR,BNIP3
SLC18A2,CLK1
ZNF567,GPR83
SFRP2,NRP1
PRTG,CDC7
ABCA1,PPM1H
YEATS4,CHL1
RALB,QPCT
LHX1,DEPDC1B
FASTKD5,NDFIP2
STC1,CDC23
SLC18A2,DECR1
ANAPC4,FAM89A
CDC7,UGGT2
MAGI3,KDR
ERCC-00076,CASD1
TTK,KIT
LTN1,PLXNA2
RHOBTB3,PIBF1
EOMES,LECT1
ERCC-00095,PPM1H
CCNA2,RLF
MAN1A1,CCNA2
ABCA1,NTS
ALG11,MTERF
RGPD2,PARPBP
LUM,NDFIP2
TOM1L1,LIFR
PLOD2,ELOVL2
ZNF518B,ABCA1
HLA-DRB1,FER
CALB1,SKA3
WDR35,STK17B
NIPSNAP3A,CEP55
VIM,ERCC-00042
MTERFD1,PMP22
SPPL2A,B3GNT2
TDP2,ZNF302
KLHL28,FAM46A
TRDN,KLF10
NXT2,ELL2
ERCC-00095,NTS
HDHD2,KIF4A
NUDT10,PPIP5K2
REV3L,ANKMY2
ATG4C,PTPRZ1
VIM,GRPR
ZNF567,LRRCC1
UBE2W,CCDC66
KIAA1324L,ABCA1
RALB,FBXL5
SEMA3A,TMCC1
BUB1B,NID1
COL1A2,PLOD2
ERCC-00062,GYPA
SERPINE2,MTERFD1
TP53INP1,IGDCC4
ZNF516,ASS1
TRDN,ARMCX3
PTPRZ1,CRHBP
RPL17-C18ORF32,ESCO2
RMI1,CDH11
ASNS,EFTUD1
ARL4A,TRIM36
PTGR1,SERPINE2
KIF18A,CCDC138
ERCC-00171,COL4A1
MALT1,SEMA6D
SPP1,ODC1
PDE3B,HDHD2
MORC3,LUM
RHAG,KBTBD2
ARMC8,FLRT3
GATM,GLDC
CHL1,PIK3R5
PLP1,YPEL5
KIT,DNAJB9
WNT5A,SEMA6D
NID1,ALCAM
VWA5A,ARL4D
MCCC1,ZNF268
LGR4,STAT1
KIAA1324L,PHLDA1
SLCO2A1,CYP26A1
COL5A1,ELMOD2
COLEC12,PRIM1
RFPL2,PIK3R5
C5ORF22,ERCC-00044
GABRB2,COL4A1
CAMK2D,LIFR
C11ORF82,CD9
MTMR2,ARG2
ZNF138,HDHD2
KIF4A,ERCC-00171
KIF4A,LPGAT1
CDK6,NUP35
ST6GALNAC3,ABCA1
MELK,ERCC-00145
KBTBD2,FLRT3
PRIM1,ERCC-00076
ROR2,PRPS2
SEC24D,YEATS4
GATA4,RMI1
ELOVL2,MTMR2
DKK1,RGPD2
LHX1,ARG2
PLCB4,WLS
ARFGAP3,SEMA3E
STK38L,CCNA2
ERCC-00002,ST8SIA1
GPC3,ANGPT2
CTSK,CDCA2
CTSK,POLR3G
TMEM64,DUSP4
IL6ST,CPE
CDCA2,OTX2
IPO11,SEMA3A
KIAA1804,ERCC-00062
GRPR,LEPREL1
ATL2,HMMR
DRAM2,CDH11
GRPEL2,PALLD
KIF18A,PRICKLE1
BTBD10,NUDT10
FASTKD1,MLLT3
SLC38A9,CDK1
ST8SIA1,TMEM64
GLIPR2,HSD17B11
FBXO11,ABCA1
APOBEC3G,NDC80
LHX1,AXL
ANKRD28,FBXO11
ST6GALNAC3,PHLDA1
C1ORF112,PDGFRA
ZBTB11,DDAH1
SLCO2A1,TBC1D23
ITGA6,CAP2
QPCT,LUM
BCL11A,MTMR2
C1ORF112,ASUN
PHLDA1,ZNF302
PCDH7,MELK
CD200,CER1
PERP,NDFIP2
STK38L,VAMP7
B3GNT2,MCC
CD200,ACOX3
COCH,ERCC-00111
REV3L,PCDH7
ROR2,ANKRD28
WDR41,ERCC-00112
SYNC,ZNF516
ERCC-00004,CD48
PIK3R5,UBE2W
POLR3G,SH3BGRL2
CELF2,GNAI1
CDCA2,ALPK2
FBXO11,PHLDA1
AXL,CDCA2
ESRP1,MFAP4
AXL,POLR3G
PMP22,UGGT2
PNPLA8,HAND1
SFRP1,DNAJB9
ABCA1,MCCC1
FAM54B,RNF138
CBR1,STK38L
GRPEL2,CALB1
ERCC-00108,ERCC-00044
ITGA6,LYPLAL1
NTS,SLC46A3
CCKBR,CENPQ
ERCC-00009,KLHL24
DUSP4,RAD51AP1
SLCO2A1,PRSS35
COL1A2,CD48
DNA2,VPS54
SPP1,BCAP29
KAT7,IFI16
TBX3,GFM1
CAP2,DUSP4
DUSP11,ERCC-00130
KIF18A,ST6GALNAC3
ELMOD2,TP53INP1
SPPL2A,VPS54
TADA1,RMI1
TMEM47,NDC80
MANEA,RGPD2
ST8SIA1,ENC1
ERCC-00131,KIF23
ST3GAL6,RND3
NCAPG,PGM2
CCNA2,ABCA1
KLHL24,ERCC-00096
NCAM1,PRSS23
PRSS35,CDH11
PRMT6,ST8SIA4
DKK1,PTGR1
RGS5,SLCO2A1
WDR41,COQ3
TTK,FBXO28
TMOD1,ANXA3
HSD17B11,SPPL2A
FASTKD5,ERCC-00108
ZNF521,TDRD7
FAM117B,PLXNA2
ERCC-00092,GNAI1
ZEB1,CASD1
LPIN1,ANKMY2
ZEB2,UBE2W
MYCT1,RALB
ERCC-00060,LPGAT1
COQ3,PLAA
ERCC-00112,CRYZL1
MID1,TRDN
TNFRSF11B,MANEA
TTC14,SORL1
LUM,ERCC-00108
DUSP4,LIPG
ERCC-00113,FBXO11
ITFG1,ERCC-00112
NUDT10,KLHL24
ERCC-00043,TMEM64
ANGPT2,ERCC-00062
ALCAM,CER1
C11ORF82,TTC14
CHEK2,ERCC-00002
KRCC1,ZFYVE16
GNG11,KIT
BNIP3,GTF2H2D
GDAP1,DUSP11
CENPQ,EPHA4
DRAM2,MTERF
SFRP2,DKK4
ECT2,TOM1L1
HDHD2,WLS
HAND1,PLK2
FBXL5,TMX3
CPE,FBXO5
SLC18A2,MCC
FAM173B,PRDM1
PELI2,ERCC-00022
ZNF516,FOS
SEC24D,DKK1
ACTC1,PDE3B
UGGT2,HDHD2
NFIB,FAM117B
EPCAM,STK38L
OXTR,COL5A2
PRDM1,MYNN
NDFIP2,YEATS4
IFI16,MYOCD
CNTRL,ERCC-00076
GDF3,ANKMY2
MYNN,GYPB
RPE,ERCC-00171
TBPL1,RRM2B
BCAP29,SEMA3A
ST8SIA4,TMEM64
ASUN,DTL
BNIP3,FAM188A
SFRP2,CLDN11
VWA5A,ODC1
CRHBP,ERCC-00044
LRIG3,ALCAM
ABCA1,CA2
TFB2M,ZNF791
DUSP11,ERCC-00025
INSIG2,ZNF302
ERCC-00002,USP53
FOS,DUSP11
RLF,ERCC-00004
NTS,NAP1L3
YEATS4,SENP7
ASNS,PLXNA2
DDAH1,TMEM47
ZNF670,DDAH1
ELL2,ERCC-00112
IFI16,RAVER2
ANXA3,TMX3
ERCC-00043,ZNF268
COL1A2,CHEK2
RND3,DYRK2
SLC38A9,ZNF268
COMMD10,SERPINE2
COL4A1,AK4
YPEL5,ERCC-00074
HSF2,PENK
KLHL6,MELK
WDR35,KIF23
DNA2,KAT7
BAG3,GATA4
CLDN11,C4ORF46
ERCC-00004,MME
CDK1,WLS
STK38L,COL4A1
OXTR,MTERFD1
NFIB,CSTF1
ERCC-00131,KDR
SLCO2A1,KAL1
PTPRZ1,GNAI1
PIBF1,DYRK2
MMP16,ALG11
KDELR3,CDC23
NUDT10,ST3GAL6
ITFG1,C4ORF46
DCAF6,MOSPD1
ST8SIA4,MALT1
LIPG,RPL17-C18ORF32
KLF10,RHOBTB3
OTX2,ASH2L
TP53INP1,MANEA
FASTKD5,ARL4A
SH3BGRL2,SPP1
IGDCC4,CCDC82
GNAI1,FAM173B
KLHL24,CTSK
HMMR,ERCC-00003
RAVER2,LPIN1
PENK,RNF138
TFB2M,VWA5A
LPIN1,PCDH7
ST8SIA4,ENC1
PRPS2,S1PR3
KIAA1467,TIPIN
RALB,MTMR2
PRPS2,OXR1
RHAG,SFRP1
BMP4,NT5C3
ELL2,COQ3
LUM,ARL4A
TRDN,CDH11
ITGA5,BMPER
PRSS23,BCL11A
KIT,LHX1
ITGA5,KLHL12
CCDC82,ERCC-00062
FREM1,RLF
GPC3,LRRC40
MORC3,DCAF6
UTP15,CER1
HLA-DRB1,EXO1
ACOX3,ID2
DUSP10,SIRT1
CYP26A1,WDFY1
PRICKLE1,RGS5
PRKRIR,INSIG2
NIPSNAP3A,EOMES
ALG6,FASTKD5
TTK,HSF2
MCCC1,MYOCD
ZNF302,LGALSL
GYPE,SLC6A15
USP31,PENK
HEG1,MMP16
PPM1H,OXTR
FBXO5,NIPSNAP3A
ERCC-00009,B3GNT5
PLK2,SORL1
CCNE2,OXTR
GRPEL2,MAGI3
AXL,SLC6A15
DLC1,LIFR
DNAJB14,PLP1
ARL4A,IFI16
ANKRD6,RRM2B
EXO1,PROM1
ANKRD13C,EFTUD1
MTMR6,SEMA5A
AKAP2,PLCB4
USP53,TMX3
DTL,DUSP11
MYCT1,MELK
PLAA,RLF
LECT1,HLA-DRB1
PRSS23,CAMK2D
FASTKD1,STK3
PRDM1,PRKRIR
RNF13,ITGA5
DKK1,STAT1
CELF2,NDC80
MAGI3,GRPEL2
SEMA3A,PAM
SEMA3A,CEP55
MCC,ANKRD28
ITGA5,DRAM2
MYNN,CPE
MCCC1,RAVER2
C11ORF82,TNFRSF11B
CD200,VASH2
WDR35,ESRP1
PRMT6,DYRK2
CD48,SLC38A9
GLDC,SLC39A8
EOMES,SFRP2
VWA5A,BCAP29
GYPA,PALLD
NDFIP2,DKK1
RAD51AP1,NRP1
DCUN1D4,ANKRD6
KRCC1,SFRP1
GPSM2,AKAP2
PRKRIR,ZEB2
DCUN1D4,LEPREL1
TIPIN,WDFY1
ZBTB11,SNX14
BMPER,MTERFD1
COCH,C3ORF58
PPM1H,KDELR3
HPRT1,TBPL1
IFI16,PLK4
RNF138,SPPL2A
SFRP2,IL6ST
CCNE2,KDELR3
CLGN,ZDHHC21
FLRT3,ITGA5
DYRK2,ERBB4
GFM1,ERCC-00076
TTC14,ZEB1
WDR35,KDR
IPO8,MPHOSPH9
CDC20,DNA2
KAT7,ERCC-00136
ZBTB11,WDR48
ERCC-00112,PLK1
ERCC-00092,NDC80
DKK1,SERPINE2
GNG11,FBXO28
FAM188A,CER1
LECT1,ITGA6
PPIP5K2,RRM2B
COL4A1,KRCC1
FAM188A,ACOX3
DNAJB9,BUB1B
KLHL24,KIAA1804
KIAA1467,FBXO5
GNAI1,CCNE2
CDC7,ERCC8
CYP1B1,ZNF280B
CCDC66,MFAP4
CNKSR3,CAP2
NUDT11,TDRD7
SFRP1,LHX1
GRPEL2,FASTKD5
ATL2,STK38L
HTRA1,ZNF521
MAGI3,COLEC12
GYPA,CALB1
SKA3,ERCC-00096
HAS2,GATA6
SLC39A8,OXR1
PRDM1,TFB2M
CYP26A1,GYPE
LYPLAL1,TMEM64
PIK3R5,ERCC-00046
EXO1,APLNR
GTF2H2D,SERHL2
PRDM1,TTC39B
PGM2,ST8SIA1
ITGA6,FAM54B
FER,PIP4K2A
WDR48,PIP4K2A
CLDN11,ITFG1
SMN1,TNFAIP8
PRDM1,CHL1
TNFRSF11B,NANOG
FAM89A,MLF1IP
GDF3,QPCT
LECT1,VIM
MOSPD1,FREM1
SNX14,TRUB1
TRIM36,SMN1
DNA2,COL5A2
TMEM64,HAND1
ALCAM,VASH2
CNKSR3,LYPLAL1
ERCC-00108,EOMES
SPPL2A,COL5A2
STC1,ZNF280B
ZFYVE16,METTL18
KAT7,PARPBP
RPE,BUB1B
PLK1,ERCC-00076
B3GNT2,FAM173B
NAP1L3,ERCC-00044
SLC46A3,PALLD
SLC35A3,ZEB1
UGGT2,NIPSNAP3A
KIAA0528,SH3BGRL
PLK4,CCNE2
COL5A1,TMEM47
COQ3,RGPD2
SLC46A3,ERCC-00043
PDLIM3,ALG11
GATA4,RLF
ACOX3,PLAA
GPSM2,OTUD6B
HAS2,PPIP5K2
CLGN,ASNS
TIPIN,GYPE
MANEA,SERPINE2
GDF3,FBXL5
ZEB2,ERCC-00046
GLIPR2,MOSPD1
ZNF791,ZNF280B
MCCC1,PLK4
MAP4K3,MYCT1
CENPQ,BAG3
TMEM38B,ERCC-00042
LYPLAL1,ENC1
GPSM2,NUDT11
ZNF516,PLOD2
MYOCD,ZDHHC21
NRP2,DTL
SORL1,DERA
CDC7,RHAG
CLK1,C1ORF112
FREM1,ABCA1
PROM1,MRS2
PCDH7,HIBCH
ARMCX3,ERCC-00044
GDF3,GPR83
TTK,ERCC-00009
PTPRZ1,NDC80
CHEK2,ATG4C
POLR3G,GATA4
RRM2B,ERCC-00022
CENPC1,HMMR
SPPL2A,MTERFD1
CEP55,HDHD2
SLC46A3,CALB1
ZDHHC21,ASNS
MOSPD1,TNFRSF11B
HPRT1,PRPS2
CAP2,HAND1
CDCA2,CCDC66
C1ORF112,SEMA3A
S1PR3,FREM1
ARFGAP3,NCAM1
CASD1,PPIP5K2
RND3,SH3BGRL2
TMOD1,FBXO3
PLAA,ABCA1
ZFYVE16,ELMOD2
MALT1,DNAJB9
GTF2H2D,STC1
METTL18,SERHL2
PIP4K2A,ALG11
KLHL28,SEC24D
PLK2,ZEB1
GPR83,ERCC-00092
VAMP7,ERCC-00096
CENPQ,FAM46A
GDF3,LRRCC1
ASH2L,IPO11
FAM89A,PDCD4
ERCC-00095,PLK2
WNT5A,DNAJB9
PIBF1,SH3BGRL2
KLF10,LIFR
TMOD1,DCAF6
MALT1,DERA
TP53INP1,PNPLA8
TP53INP1,NANOG
KAT7,DCUN1D4
SPP1,CLK1
NXT2,RRM2B
ZNF670,WDR48
TTC39B,RALB
SLC38A9,MYOCD
LTN1,HTRA1
HAPLN1,IGDCC4
REV3L,MTMR2
GNG11,HSF2
SKA3,CTSK
FBN1,ZNF302
TFPI,IPO11
CRHBP,EOMES
DCUN1D4,FER
FEZ1,TRDN
SLC18A2,FAM173B
SH3BGRL,S1PR3
CA2,SIRT1
HTRA1,MBOAT1
UTP15,VASH2
STAT1,ERCC-00096
CDC7,ASS1
PLAA,PHLDA1
TRUB1,ERCC-00113
MBOAT1,ECT2
HPRT1,ANKRD28
RNF13,HPRT1
ANKRD13C,PLXNA2
SIRT1,ZNF302
COLEC12,KIAA1324L
PMP22,ERCC8
ZNF302,PRSS23
SLC6A15,RAD51AP1
HLA-DQB1,IPO8
IGDCC4,PRICKLE1
RALB,PRTG
ARL4A,ERCC-00136
NDC80,ZNF567
MPHOSPH9,ARHGAP29
ERCC-00002,RAD51AP1
SLC38A9,RAVER2
KRCC1,DOCK7
LRRCC1,TTK
ZNF268,ANGPT2
ERCC-00111,ARHGAP29
EFTUD1,ST8SIA1
S1PR3,TNFRSF11B
CASD1,FLRT3
DUSP10,GPSM2
ESRP1,LRIG3
KLHL12,ITGA5
MTERFD1,ZNF302
KDR,CCNA2
GRPEL2,ZBTB11
YPEL5,KLHL4
CEP70,FBXO11
FBXL5,RPE
HBP1,PDE3B
ZBTB11,ZNF138
FBXL5,ZNF518B
FLRT3,HPRT1
B3GNT5,HDHD2
TFB2M,TDRD7
RAD51AP1,DKK4
PDLIM3,CDC20
GYPA,MAGI3
GLMN,BTBD10
TBC1D23,MAP4K3
KIAA0528,ESCO2
PDCD4,SPPL2A
ERCC-00002,LIPG
STK3,MAP4K3
PDGFRA,CCNE2
GRPEL2,COL5A1
TNFAIP8,LGR5
METTL18,STC1
GABPA,REV3L
GPR83,SORL1
TRIM36,ANKRD6
PPM1H,ELL2
TRIM36,LEPREL1
DNAJB9,MORC3
NRP1,DTL
IGDCC4,ST6GALNAC3
MYOCD,WDR35
OXR1,ORC5
CCNE2,ELL2
ARL4A,PARPBP
KIF4A,FASTKD5
OXTR,HSD17B11
SFRP2,CDCA2
SFRP2,POLR3G
C3ORF14,RNF13
ANKRD28,INSIG2
RAD51AP1,CLDN11
TRUB1,RNFT1
FAM188A,VASH2
GRPEL2,ERCC-00095
GATA4,ABCA1
ANXA3,ZNF518B
TOM1L1,APOBEC3G
PMP22,RHAG
HSF2,MID1
DUSP11,PRPS2
ABCA1,PMAIP1
TFPI,GLDC
KLHL24,DUSP4
VAMP7,CTSK
FARSB,DUSP10
CDC20,KIAA1467
HAS2,KLHL24
PTGR1,KIAA1324L
ERCC-00095,PMAIP1
ZBTB11,CEP70
PIP4K2A,CDC20
TOM1L1,ERCC-00060
RNF13,CNKSR3
SLC6A15,CLGN
HIBCH,SLC46A3
ERCC-00060,MAGI3
GTF2H2D,MTERF
ZNF280B,YEATS4
MFAP4,SLC46A3
SEMA3A,EOMES
MME,DRAM2
GATA4,PHLDA1
STAT1,CTSK
DNAJB14,SLC18A2
GYPA,FASTKD5
OTX2,ITGA5
CD9,ERCC-00002
TMCC1,ANKMY2
ANKRD28,ZEB2
TBX3,ATG4C
SLC18A2,FLRT3
KIAA1467,PGM2
CDCA2,CCDC81
BUB1B,ERCC-00042
COLEC12,ANAPC4
SLC38A9,PLK4
IL6ST,FAM69A
APLNR,CD9
KAL1,MMP16
LPGAT1,CD9
ANKMY2,KIT
FBXL5,ZNF670
FOS,UGGT2
BUB1B,GRPR
HEG1,CRYZL1
PRDM1,SENP7
RPL17-C18ORF32,TTK
C5ORF22,METTL18
ERCC-00131,COLEC12
ORC5,ERCC-00092
CAMK2D,APOBEC3G
MYCT1,HIBCH
GNG11,ERCC-00009
ERCC-00004,CELF2
PMP22,ASS1
FAM173B,PMP22
USP53,RPE
LPIN1,MTMR2
PLXNA2,RNF138
USP44,SH3BGRL2
PARPBP,ARHGAP28
FAM54B,SERHL2
YPEL5,LGR5
TRUB1,TMOD1
MTMR2,YPEL5
NDC80,ST8SIA1
GDAP1,ERCC-00111
ERCC-00074,ERCC-00042
DOCK7,RHOBTB3
USP53,ZNF518B
NUDT10,FBXO11
ERCC-00113,INSIG2
CNKSR3,FAM54B
ZNF516,CHEK2
ST8SIA1,GTF2H2D
COBLL1,BLM
PNPLA8,FAM89A
FAM117B,HTRA1
TBPL1,TOM1L1
GRPR,BTBD10
CD200,DUSP11
COL1A2,CELF2
NIPSNAP3A,ELMOD2
ACOX3,RGPD2
NUP35,ARMC8
COBLL1,HLA-DRB1
TMEM47,ALG11
CALB1,LGALSL
HAS2,ST3GAL6
FZD5,TMCC1
CDC7,FOS
VWA5A,CLK1
KDELR3,ZNF280B
SERPINE2,MOSPD1
ARL4D,NIPSNAP3A
OTUD6B,ZNF268
ERCC-00060,FASTKD5
WDR35,GRPEL2
RMI1,TNFAIP8
COCH,PLAU
NAP1L3,EOMES
TADA1,PHLDA1
VWA5A,DECR1
DEPDC1B,BUB1B
DNAJB14,COBLL1
MLLT3,PRMT6
TTK,NID1
PRICKLE1,DNA2
GLDC,RPE
CDC20,CYP1B1
METTL18,MTERF
LGR4,ZNF791
RGS5,C1ORF112
GABRB2,B3GNT5
HIBCH,NAP1L3
APOBEC3G,MRE11A
MAP4K3,TBX3
ZUFSP,DYRK2
RNF13,KLHL6
RAD51AP1,IL6ST
COQ3,SERPINE2
MFAP4,NAP1L3
C12ORF23,ERCC-00044
ERCC-00113,ZEB2
ARHGAP28,MTMR6
SPP1,MCC
AK4,ERCC-00062
ELMOD2,PIBF1
KLHL4,USP31
FASTKD1,CASD1
MTERF,FER
CALB1,SLC35A3
HAND1,ZNF791
TTC14,UBE2D1
SERPINE2,KDELR3
NFIB,ST8SIA1
CASD1,ST3GAL6
MALT1,LHX1
TMOD1,MCCC1
NUP35,EFTUD1
DTL,UGGT2
RALB,USP44
CER1,RPL17-C18ORF32
TRUB1,IGDCC4
PLCB4,ST8SIA4
COBLL1,ITGA6
TRIM36,FER
WNT5A,LHX1
ZNF268,LRRC40
TMCC1,PCDH7
ERCC-00096,YEATS4
ERCC-00145,TTK
REV3L,PRTG
ZNF670,CEP70
RAD51AP1,TFB2M
HAPLN1,MANEA
FAM54B,STC1
ZNF280B,DKK1
WDR35,COLEC12
CA2,GPSM2
CENPC1,STK38L
NIPSNAP3A,WNT5A
MLF1IP,ECT2
PDLIM3,FEZ1
USP44,REV3L
KLF10,PDLIM3
DKK4,TP53INP1
LGR4,VWA5A
ALCAM,C11ORF82
SLC19A2,FAM135A
KIF15,TMEM38B
FBXO28,GFM1
PLAU,KIAA1324L
ZNF567,CDK1
FBXL5,RMI1
ANKRD6,TOM1L1
B3GNT5,NIPSNAP3A
ERCC-00062,HDHD2
RFESD,MOSPD1
DUSP11,ID2
HAND1,VWA5A
COBLL1,VIM
HAS2,B3GNT5
C3ORF58,PLXNA2
MLF1IP,RSPO3
LPGAT1,TTC14
CCDC81,ALG6
ANXA3,LECT1
YEATS4,PALLD
FARSB,CENPQ
DKK4,MTMR6
CCDC66,LRIG3
GRPEL2,RND3
DNA2,HSD17B11
YEATS4,ERCC-00043
PTGR1,NFIB
SLC35A3,UBE2D1
ERCC-00009,UBE2W
NCAPG,DDAH1
SPPL2A,HSD17B11
GYPA,ZBTB11
LGR5,TRDN
SMN1,CBR1
ERCC-00108,ELMOD2
CDH11,CDC7
ERCC-00004,AKAP2
DCUN1D4,EXO1
COL1A2,FASTKD3
DECR1,ZNF567
ST8SIA4,GTF2H2D
ANKRD28,NUDT10
RND3,GATA4
ERCC-00112,CENPC1
PDGFRA,BCL11A
TMX3,HMMR
PENK,SERHL2
ARHGAP28,KIF15
PERP,RNF138
RFESD,KDELR3
GATA6,TDRD7
TTC14,GABRB2
GCA,SEMA3E
BMP4,CCDC81
GLDC,ZNF670
PIP4K2A,FEZ1
ERCC-00112,PELI2
NDC80,USP53
ERCC-00130,GYPA
TMEM47,CDC20
WDR41,ERCC-00145
COL1A2,AKAP2
RAVER2,NRP1
PIBF1,GATA4
ST6GALNAC3,TFPI
GYPA,COL5A1
NLGN4X,HEG1
TMEM38B,HMMR
ANKMY2,FBXO28
TMOD1,CA2
YEATS4,CALB1
ASUN,LYPLAL1
PPIP5K2,TOM1L1
COMMD10,KIAA1324L
ITGA5,GDAP1
GATM,HEG1
OTX2,HPRT1
PRSS35,TNFAIP8
DDX20,C3ORF14
MLLT3,SLC46A3
SKA3,DUSP4
ST8SIA4,FAM188A
NIPSNAP3A,KLHL28
UBE2W,FAM135A
ASS1,ZDHHC21
COLEC12,MAN1A1
CA2,TMCC1
IPO8,CNTRL
HEG1,PLK1
PMP22,FOS
GYPA,ERCC-00095
PGM2,RAD51AP1
FAM46A,GFM1
PTGR1,HLA-DQB1
GPSM2,ALCAM
KIF18A,PRDM1
BCAP29,SEMA3E
DNAJB14,SKA3
CEP55,GLDC
HLA-DQB1,UTP15
HSD17B11,PROM1
TBC1D23,KIF4A
FBXO11,TFPI
GNAI1,SPP1
PLK2,UBE2D1
APLNR,FREM1
HDHD2,ST8SIA4
ZFYVE16,TMEM47
UTP15,DUSP11
PMAIP1,ORC5
STK3,KIF4A
CYP26A1,GATA6
DNA2,ZUFSP
MTMR6,PENK
UTP15,C11ORF82
PARPBP,GNAI1
IL6ST,SEMA6D
HLA-DRB1,ATL2
LRIG3,ASH2L
PALLD,PDE3B
PHC1,LECT1
MAN1A1,ERCC-00076
BTBD10,ZUFSP
RGPD2,ERCC-00130
DKK4,KIF15
CTSK,PPPDE1
SLC46A3,ZBTB11
ERCC-00096,DKK1
RAD51AP1,PLXNA2
FAM173B,NLGN4X
ITFG1,ERCC-00145
PGM2,LIPG
ERCC-00113,NUDT10
COCH,EPCAM
ERCC-00060,COL5A1
PLAU,ANAPC4
LECT1,ESRP1
RNFT1,MFAP4
ERCC-00004,OTUD6B
MYNN,FAM69A
CRHBP,ELMOD2
FAM54B,MTERF
C3ORF58,OTX2
PRMT6,GATA4
DOCK7,LIFR
ZNF516,EPHA4
PENK,STC1
GDAP1,C3ORF58
PLK4,SPP1
C4ORF46,RALB
SEC24D,TBC1D23
SERHL2,ZNF268
GNG11,NID1
DLC1,APOBEC3G
LPIN1,PRTG
MME,WDR35
DEPDC1B,MORC3
CYP26A1,PPIP5K2
TIPIN,GATA6
GLRX,ATL2
DUSP11,PLAA
CALB1,PRSS23
SEMA5A,SORL1
STK38L,B3GNT5
PLCB4,DYRK2
CDK1,ST8SIA4
APLNR,TNFRSF11B
CRYZL1,APOBEC3G
VWA5A,MCC
ASUN,RFESD
VPS54,GPC3
ASS1,ASNS
GTF2B,LECT1
COBLL1,STK17B
AXL,PPPDE1
ZNF567,ZNF268
GYPE,ARFGAP3
SLC46A3,ERCC-00095
HSD17B11,APLNR
CD48,LIFR
GPC3,STK3
MLLT3,NAP1L3
FAM173B,B4GALT4
KLHL24,HAND1
OTX2,CNKSR3
CDC23,KBTBD2
AXL,ARFGAP3
RLF,FREM1
FASTKD3,ANGPT2
CENPQ,ERBB4
OXTR,MOSPD1
GLDC,RMI1
VAMP7,DUSP4
CDC7,PLOD2
CRYZL1,UBE2D1
FAM188A,DUSP11
ELL2,ERCC-00145
RSPO3,ERCC-00044
DECR1,ST8SIA1
CELF2,MRE11A
WWP1,TRDN
PLAU,NFIB
SMN1,FARSB
NT5C3,ATL2
RALB,GLIPR2
ZUFSP,SH3BGRL2
GDF3,PRTG
PROM1,CDC7
PIK3R5,SYNC
RAD51AP1,CDCA2
COMMD10,ANAPC4
